"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U1";"D1_mini_board";1;"WeMos_mini";;;
2;"J4";"BarrelJack_Horizontal";1;"Barrel_Jack_Switch";;;
3;"D2";"SOT-23";1;"BAT54S";;;
4;"C5,C1,C2,C4,C6";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";5;"100n";;;
5;"C3";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"2.2u";;;
6;"D1";"LED_D5.0mm";1;"LED";;;
7;"Q0,Q1,Q2";"SOT-23";3;"2n7002";;;
8;"R0,R1,R2,R3,R4,R5,R11";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";7;"2k2";;;
9;"J2,J5,J6,J7";"PinHeader_1x02_P2.54mm_Vertical";4;"Screw_Terminal_01x02";;;
10;"D3";"D_SMB";1;"DIODE";;;
11;"J3,J1";"TerminalBlock_bornier-3_P5.08mm";2;"Screw_Terminal_1x03";;;
12;"P1";"PinHeader_1x02_P2.54mm_Vertical";1;"CONN_01X02";;;
13;"P2";"PinHeader_1x08_P2.54mm_Vertical";1;"CONN_01X08";;;
14;"R6,R9";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"150R";;;
15;"R7,R8";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"10R";;;
16;"R10";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"120R";;;
17;"U2";"DIP-8_W7.62mm";1;"75LBC176";;;
18;"R12,R13";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"10k";;;
19;"R14,R15";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"20k";;;
20;"R16,R17";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"680";;;
21;"R18";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"0";;;
22;"U3";"SOIC-8_3.9x4.9mm_P1.27mm";1;"LM358";;;
